model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,HIGH_precision,HIGH_recall,HIGH_f1,VERY_HIGH_precision,VERY_HIGH_recall,VERY_HIGH_f1
XGBoost,validation,0.993903335655135,0.9714139095537037,0.9731120983007945,0.9722588401286737,0.9939123223788204,0.9875263087562223,0.9861755187829452,0.9868504515332098,0.9010033917467496,0.9086439107817288,0.9048075217314174
XGBoost,test,0.9947797112538354,0.9873962914904275,0.9836364826047275,0.9854751372909865,0.9947613635267271,0.990803111880648,0.9878722905289959,0.9893355306330888,0.9701598318588396,0.9474450464211557,0.9586679063477306
LightGBM,validation,0.9995511183344943,0.9978647458509233,0.9976365112733798,0.9977505569307259,0.999551009354186,0.9990033610501823,0.9990616867952226,0.9990325230714057,0.9925452989014125,0.9914843582982968,0.9920145449360094
LightGBM,test,0.9995222665337321,0.9990452323522492,0.9980781067607396,0.9985600680972397,0.9995218859562689,0.9988652392847855,0.9991860994456411,0.9990256436023011,0.9981050611657472,0.9931263275973173,0.9956094701455933
RandomForest,validation,0.9517558625493383,0.8775938777161172,0.8442045607837247,0.8578106163277831,0.9507779757492808,0.901736058285579,0.8898378594782145,0.8957474497292305,0.7179103080235933,0.5464262809092852,0.6205389657683904
RandomForest,test,0.9543061706353807,0.9208162858261365,0.889829269111356,0.9010213493867372,0.9537625189533536,0.9324573932055304,0.8774636257397528,0.9041250270321309,0.9013768812039705,0.7054464307024034,0.7914661168421687
